,committing,disadvantaged,decision
1,Avery Bradley,Stephen Curry,CNC
3,Isaiah Thomas,Andre Iguodala,CNC
4,Jae Crowder,Harrison Barnes,INC
6,Draymond Green,Isaiah Thomas,CC
7,Avery Bradley,Stephen Curry,CC
8,Avery Bradley,Stephen Curry,CC
9,Kenneth Faried,Tyreke Evans,CC
10,Eric Gordon,Ty Lawson,CC
11,Wilson Chandler,Omer Asik,CC
13,Will Barton,Eric Gordon,CC
14,Norris Cole,Danilo Gallinari,CC
15,Dante Cunningham,Wilson Chandler,INC
18,Wilson Chandler,Jimmer Fredette,CC
19,Ty Lawson,Norris Cole,CC
20,Ty Lawson,Tyreke Evans,CC
21,Wilson Chandler,Tyreke Evans,CC
22,Josh Smith,Kevin Love,CNC
23,JR Smith,James Harden,CC
24,Trevor Ariza,LeBron James,CC
25,Terrence Jones,Tristan Thompson,CC
26,Tristan Thompson,Josh Smith,CNC
27,Terrence Jones,LeBron James,CNC
28,Tristan Thompson,Terrence Jones,CC
30,LeBron James,James Harden,CNC
31,LeBron James,James Harden,INC
32,Josh Smith,LeBron James,CNC
33,Trevor Ariza,Tristan Thompson,CNC
34,Kevin Love,Josh Smith,CC
35,James Harden,LeBron James,INC
36,LeBron James,James Harden,INC
38,JR Smith,Josh Smith,CNC
39,Josh Smith,LeBron James,CC
40,JR Smith,James Harden,CC
41,LeBron James,James Harden,CC
43,Deron Williams,Harrison Barnes,CC
44,Andrew Bogut,Jarrett Jack,CNC
45,Brook Lopez,Klay Thompson,CNC
46,Draymond Green,Deron Williams,CNC
48,Andrew Bogut,Brook Lopez,CC
49,Andrew Bogut,Brook Lopez,CNC
50,Brook Lopez,Stephen Curry,CNC
51,Chris Paul,Andrew Wiggins,CC
52,Spencer Hawes,Andrew Wiggins,INC
54,"Saunders, Flip",JJ Redick,CC
55,Kevin Garnett,DeAndre Jordan,CC
58,Dahntay Jones,Gary Neal,IC
59,Jordan Hamilton,Gary Neal,CC
60,Ricky Rubio,Chris Paul,CNC
61,DeAndre Jordan,Adreian Payne,INC
62,Andrew Wiggins,Austin Rivers,CNC
63,Ricky Rubio,DeAndre Jordan,CNC
64,Kevin Garnett,Austin Rivers,CNC
65,Andrew Wiggins,Dahntay Jones,CC
66,Paul Millsap,Terrence Jones,CNC
67,Al Horford,Terrence Jones,CNC
68,Patrick Beverley,Jeff Teague,CNC
69,Al Horford,Trevor Ariza,CNC
70,DeMarre Carroll,Terrence Jones,CC
71,Donatas Motiejunas,Paul Millsap,CNC
73,Trevor Ariza,DeMarre Carroll,CC
74,Patrick Beverley,Paul Millsap,CC
75,Corey Brewer,Jeff Teague,CC
76,Jason Terry,Dennis Schroder,CC
77,Bradley Beal,Nikola Mirotic,INC
78,Tony Snell,John Wall,CNC
79,Nikola Mirotic,John Wall,CNC
81,John Wall,Aaron Brooks,INC
82,Marcin Gortat,Nikola Mirotic,CC
83,Joakim Noah,Otto Porter Jr.,CC
84,Garrett Temple,Pau Gasol,CC
85,Marcin Gortat,Tony Snell,INC
86,Jeremy Lin,Michael Kidd-Gilchrist,CC
88,Jordan Hill,Michael Kidd-Gilchrist,CNC
89,Wesley Johnson,Mo Williams,CC
90,Michael Kidd-Gilchrist,Jeremy Lin,CC
91,Jordan Clarkson,Gerald Henderson,CC
93,Wesley Johnson,Mo Williams,CC
94,Jordan Hill,Cody Zeller,CNC
95,Jordan Clarkson,Mo Williams,CC
97,Tony Allen,Corey Brewer,CC
98,Courtney Lee,James Harden,CC
99,James Harden,Courtney Lee,CNC
100,Corey Brewer,Marc Gasol,CNC
102,Corey Brewer,Courtney Lee,CC
103,Courtney Lee,Terrence Jones,INC
104,Marc Gasol,Terrence Jones,CNC
106,Zach Randolph,James Harden,INC
107,Spencer Hawes,Nicolas Batum,CNC
108,Damian Lillard,Chris Paul,CNC
109,DeAndre Jordan,Wesley Matthews,CNC
113,Chris Paul,LaMarcus Aldridge,CC
115,Hedo Turkoglu,Nicolas Batum,CC
116,Austin Rivers,Nicolas Batum,CC
117,JJ Redick,Damian Lillard,CNC
119,DeAndre Jordan,LaMarcus Aldridge,CNC
120,JJ Redick,Wesley Matthews,INC
121,Nicolas Batum,JJ Redick,CNC
122,Nicolas Batum,DeAndre Jordan,INC
123,Wesley Matthews,Austin Rivers,CC
124,Austin Rivers,Damian Lillard,INC
125,Henry Walker,Jordan Clarkson,CC
126,Hassan Whiteside,Jordan Clarkson,CC
127,Wayne Ellington,Dwyane Wade,CC
128,Jordan Hill,Goran Dragic,CNC
129,Dwyane Wade,Jordan Clarkson,CNC
130,Jordan Hill,Hassan Whiteside,IC
131,Jordan Clarkson,Hassan Whiteside,CC
133,Omer Asik,Greg Monroe,CNC
134,Tyreke Evans,Kentavious Caldwell-Pope,CNC
135,Reggie Jackson,Tyreke Evans,CNC
136,Andre Drummond,Anthony Davis,CC
137,Reggie Jackson,Tyreke Evans,CC
138,Serge Ibaka,Isaiah Canaan,CC
139,Isaiah Canaan,Russell Westbrook,CC
141,Serge Ibaka,Jerami Grant,CNC
142,Serge Ibaka,Nerlens Noel,CNC
143,Jerami Grant,Russell Westbrook,CNC
145,Nerlens Noel,D.J. Augustin,CNC
149,Dion Waiters,Nerlens Noel,CC
150,Luc Mbah a Moute,D.J. Augustin,CNC
151,Serge Ibaka,Luc Mbah a Moute,CC
152,D.J. Augustin,Luc Mbah a Moute,CNC
153,Nerlens Noel,Russell Westbrook,CC
154,Serge Ibaka,Nerlens Noel,CC
155,D.J. Augustin,Jason Richardson,CC
156,Jerami Grant,Russell Westbrook,CC
157,Russell Westbrook,Jason Richardson,CC
158,Jerami Grant,Russell Westbrook,CC
160,Hollis Thompson,Russell Westbrook,CC
161,Jonas Valanciunas,LeBron James,CNC
162,Lou Williams,Kyrie Irving,CC
163,Lou Williams,LeBron James,CC
165,Greivis Vasquez,Kyrie Irving,CC
166,Lou Williams,LeBron James,CC
167,Kyrie Irving,Greivis Vasquez,CNC
169,E'Twaun Moore,Russell Westbrook,CNC
170,Andre Roberson,Aaron Brooks,CNC
171,Enes Kanter,Nikola Mirotic,CNC
172,E'Twaun Moore,Russell Westbrook,CC
174,Pau Gasol,Andre Roberson,CNC
175,Serge Ibaka,Nikola Mirotic,CC
177,Russell Westbrook,E'Twaun Moore,CNC
180,Russell Westbrook,Nikola Mirotic,CC
181,PJ Tucker,Cory Jefferson,CNC
182,Thaddeus Young,Brandon Knight,CC
183,Marcus Morris,Brook Lopez,INC
184,Deron Williams,Marcus Morris,CC
185,Markieff Morris,Deron Williams,INC
187,Thaddeus Young,Brandon Knight,CNC
188,Brook Lopez,Markieff Morris,CNC
189,Joe Johnson,PJ Tucker,INC
190,Jarrett Jack,Eric Bledsoe,CC
191,Marcus Morris,Joe Johnson,CNC
192,Markieff Morris,Jarrett Jack,CC
193,Jarrett Jack,Brandon Knight,CNC
196,Deron Williams,Eric Bledsoe,CC
197,Deron Williams,Eric Bledsoe,CC
198,Jarrett Jack,Brandan Wright,CC
199,Jordan Hill,Jeff Green,CC
202,Wesley Johnson,Mike Conley,CC
203,Jordan Hill,Marc Gasol,CC
205,Jordan Hill,Marc Gasol,CC
207,Jordan Clarkson,Mike Conley,CC
208,Nick Calathes,Wayne Ellington,CC
209,Jeff Green,Carlos Boozer,IC
210,Carlos Boozer,Marc Gasol,CC
211,Wayne Ellington,Nick Calathes,CC
213,DeMarcus Cousins,Victor Oladipo,CNC
214,Dewayne Dedmon,Andre Miller,CNC
215,Dewayne Dedmon,DeMarcus Cousins,CC
217,Dewayne Dedmon,DeMarcus Cousins,INC
218,Aaron Gordon,Omri Casspi,CC
